yyyy-mm-dd,WMT,CLX,JNJ,PG,ROKU,NFLX,GRUB,AMZN,CPB,ZM,GOOGL,MSFT,CHTR,VZ,PTON,UBER,LYFT,SFM,KR,COST,BUD,USO,DJI,SBUX,MCD,DAL,UAL,PLNT,EQX,CCL,HLT,MAR,EXPE,CVS,ANTM,HUM,UNH,DFS,BAC,AXP
2020-03-26,109.8200,173.1100,126.5700,107.3800,89.7500,362.9900,38.1600,1955.4900,43.5900,141.1500,1162.9200,156.1100,454.1700,53.5400,25.7500,28.1200,29.9400,18.3700,29.0000,292.3000,46.3000,4.8300,22552.1699,69.9000,167.3500,31.7000,35.5500,52.3800,6.8600,17.8200,73.2000,82.8100,64.4100,58.3100,235.6700,304.4800,255.3900,41.7100,22.7200,93.2900
2020-03-25,109.4000,165.6600,119.4000,100.9200,94.8500,342.3900,35.7500,1885.8400,41.4100,138.1100,1101.6200,146.9200,420.7700,49.9400,24.5200,26.1900,27.9500,17.1400,27.9400,280.8600,45.5900,5.0800,21200.5508,65.8100,162.9800,31.1000,36.6000,50.3300,7.2000,15.5500,72.2500,85.2500,65.8900,53.6400,216.3700,269.0100,234.4900,37.4500,21.1000,90.1700
2020-03-24,115.0300,168.3200,119.1800,103.2700,97.2000,357.3200,34.6500,1940.1000,43.5000,135.1800,1130.0100,148.3400,419.4000,49.9900,24.5700,26.3900,27.0600,17.5900,30.1500,284.9400,43.9300,4.9800,20704.9102,64.8800,161.9500,26.8900,33.0000,46.2300,7.2200,13.6800,69.3900,79.1400,59.4800,54.3500,196.8400,234.0600,219.8000,33.7800,21.0300,84.0500
2020-03-23,114.2800,170.1400,111.1400,97.7000,89.4600,360.2700,30.1300,1902.8300,42.9300,159.5600,1054.1300,135.9800,381.7800,50.3100,23.3400,22.4000,22.6100,16.5800,31.0800,285.5300,41.8000,4.8800,18591.9297,56.5500,137.1000,22.2200,26.2500,37.4700,6.3700,12.0000,63.3300,70.1300,50.8500,53.0900,174.6800,214.4300,194.8600,26.6500,18.0800,68.9600
2020-03-20,113.9700,177.4000,119.8900,102.4300,76.1300,332.8300,31.7100,1846.0900,45.3000,130.5500,1068.2100,137.3500,371.7000,51.8000,23.0100,21.3300,21.2700,17.6000,31.7700,290.4200,40.3000,4.9400,19173.9805,58.0300,148.4900,21.3500,24.5000,33.9300,6.1500,12.0000,61.6000,74.5800,48.8000,54.7000,191.5900,230.6100,206.5900,25.2500,19.6700,74.1200
2020-03-19,119.4500,191.7800,127.0500,110.8300,74.1200,332.0300,36.8100,1880.9300,47.5000,123.7700,1111.6700,142.7100,393.0600,53.6200,24.9900,20.4900,20.7000,17.6200,34.1800,305.2200,36.3600,5.3700,20087.1895,61.4100,149.5000,21.5100,21.2800,32.6100,5.7200,10.0000,58.0300,66.8000,48.4300,55.3800,200.8700,256.1900,219.8000,28.3300,21.2000,77.0700
2020-03-18,122.5800,190.9500,134.9600,117.4500,67.5000,315.4700,35.8500,1830.0000,50.4800,118.7100,1091.1900,140.4000,381.5200,54.3200,25.7900,14.8200,16.0500,17.6900,33.9100,307.5000,35.1800,4.7100,19898.9199,56.3300,137.3000,23.4900,21.3800,27.5400,5.5300,9.3000,56.6800,63.8100,45.6500,57.1800,206.9600,246.5800,217.0600,27.0000,20.7900,73.7500
2020-03-17,119.2600,197.8800,136.5900,118.2400,69.4600,319.7500,40.7800,1807.8400,53.8400,111.1000,1118.0600,146.5700,393.0200,54.3100,25.4500,18.9100,18.6600,18.9300,33.0000,306.9900,38.1000,5.7100,21237.3809,58.9800,147.6200,31.7400,30.6700,35.3900,5.8800,12.7100,64.8300,75.2400,54.1200,58.0000,238.3200,272.5800,244.2200,36.8700,21.9800,86.5800
2020-03-16,106.7600,174.6900,127.1300,108.5000,63.8400,298.8400,36.3500,1689.1500,49.3000,107.8600,1073.0000,135.4200,389.1100,50.9900,22.2500,20.2900,19.1200,16.3600,31.1000,283.1800,37.2000,6.0500,20188.5195,58.5900,149.0100,35.8100,35.4700,38.8000,6.6200,14.5700,69.5400,86.4200,54.7000,52.3000,224.0400,270.2100,225.0400,37.8700,20.4400,85.8700
2020-03-13,114.1000,167.7700,134.2900,114.0700,80.9500,336.2950,37.8700,1785.0000,49.2800,107.4700,1214.2700,158.8300,454.1900,54.1700,19.7200,22.6000,24.1700,14.5500,30.7100,302.2700,44.2900,6.9600,23185.6191,69.9200,177.1300,38.3600,41.6400,53.9800,5.7500,17.5800,78.6300,95.6100,69.6300,59.6400,270.3400,313.9100,272.0400,51.7600,24.1600,99.6000
2020-03-12,104.0500,158.7000,125.4100,101.8400,78.8100,315.2500,35.5000,1676.6100,47.6800,109.4700,1111.5500,139.0600,427.5400,51.2000,19.5100,22.6100,23.8800,13.3200,29.1200,279.8500,44.0100,6.5400,21200.6191,62.1000,170.1300,33.7100,37.0800,48.3200,5.8600,14.9700,76.7200,93.7100,65.0400,54.6000,256.2100,293.0500,250.4100,44.8800,20.5100,83.5300
2020-03-11,114.4300,169.4000,131.8000,111.5900,90.6300,349.9200,42.6300,1820.8600,50.4700,110.3000,1210.9000,153.6300,450.6500,54.8300,22.0000,26.2400,29.0100,16.0700,30.5900,297.4300,49.2000,6.9400,23553.2207,68.3000,188.2500,42.6700,49.3400,57.0000,6.6200,21.7500,81.0900,100.1100,76.6700,61.3100,281.6900,328.2200,277.7800,53.2000,22.6700,95.3800
2020-03-10,119.7900,175.0000,141.6400,120.5500,97.3000,364.1300,48.7300,1891.8200,51.2600,108.4900,1275.1700,160.9200,476.7600,56.5200,22.9700,28.9700,32.8900,16.7200,32.6000,309.4000,51.1300,7.2400,25018.1602,74.8700,199.8600,45.4700,52.5600,62.6300,7.7000,24.0200,90.3200,109.9800,85.9300,62.6000,286.0500,349.3000,280.0000,57.6900,23.6100,103.3000
2020-03-09,117.1600,174.9000,136.4400,116.0600,96.2600,346.4900,49.7200,1800.6100,50.2000,113.7500,1215.7900,150.6200,463.2100,55.8300,23.2100,28.1700,32.8100,16.4700,31.2500,301.9800,48.3000,6.5200,23851.0195,70.8300,186.8600,43.5200,46.7800,56.6500,7.7200,21.7400,86.1800,104.1900,86.3000,61.3000,269.8200,337.2000,273.4400,54.7600,21.9300,98.2900
2020-03-06,117.2300,173.2600,142.0300,121.6600,102.0200,368.9700,51.9000,1901.0900,51.7600,114.3200,1295.7400,161.5700,496.7200,56.8700,24.9800,31.6800,36.0200,17.2300,32.0400,311.3400,53.8000,8.7300,25864.7793,75.3400,198.8600,45.8900,52.1000,64.3500,8.7500,27.1500,90.4500,110.6600,91.8500,64.1500,282.1900,367.0100,283.8700,62.5800,25.7100,108.2400
2020-03-05,115.9200,175.8500,142.0100,121.6300,106.4400,372.7800,51.6200,1924.0300,53.1000,125.0000,1314.7600,166.2700,505.1400,57.1600,27.1000,32.2100,37.0800,17.2500,33.4700,315.7600,55.5700,9.6100,26121.2793,76.1900,198.3200,45.0100,51.5900,62.5000,8.9900,27.8700,91.5000,110.2200,91.5100,64.3600,287.1600,370.6000,282.9600,64.5700,26.7800,110.9400
2020-03-04,116.7700,172.5200,143.4800,124.5000,109.6100,383.7900,52.7600,1975.8300,52.7200,116.8000,1381.6000,170.5500,522.8400,58.1200,27.2500,34.5300,40.2700,16.8200,30.9600,320.7400,57.8100,9.8600,27090.8594,79.6700,207.0200,48.5000,59.4700,69.8800,8.4000,32.4600,98.3900,118.3300,97.1400,66.0400,296.4200,372.3400,289.4200,66.6900,28.3900,115.7000
2020-03-03,112.9100,167.8700,135.5900,118.1700,108.6200,368.7700,48.9300,1908.9900,47.8800,117.4700,1337.7200,164.5100,495.0300,55.7000,26.6850,33.0400,36.9700,16.4450,29.3400,302.7300,56.6500,9.8900,25917.4102,78.6000,199.5100,46.1800,58.2900,67.8500,8.1100,31.8300,93.3300,114.2800,95.1900,62.5400,256.3800,325.3700,261.4000,64.3100,27.7500,108.0100
