yyyy-mm-dd,WMT,CLX,JNJ,PG,ROKU,CHTR,VZ,PTON,UBER,LYFT,SFM,KR,NFLX,GRUB,AMZN,CPB,ZM,MSFT,COST,BUD,USO,DJI,SBUX,MCD,DAL,UAL,PLNT,EQX,CCL,HLT,MAR,EXPE,CVS,ANTM
2020-02-28,107.6800,159.4200,134.4800,113.2300,113.6700,493.1700,54.1600,26.6900,33.8700,38.1200,15.9800,28.1300,369.0300,48.1100,1883.7500,45.1200,105.0000,162.0100,281.1400,58.3700,9.4500,25409.3594,78.4300,194.1700,46.1300,61.5900,67.4900,7.3000,33.4600,97.2000,124.0000,98.6200,59.1800,257.0900
2020-02-27,110.4000,168.7000,139.1200,113.5000,110.0300,508.5500,55.0600,28.7200,32.4500,37.7800,16.4500,28.3600,371.7100,46.1800,1884.3000,45.7000,113.5500,158.1800,293.1300,60.2100,9.7800,25766.6406,78.2900,201.0000,48.1900,64.9400,72.0700,8.0800,31.8500,95.8300,119.6400,98.7100,59.3300,257.8600
2020-02-26,113.7800,168.0300,143.6800,120.1600,112.7100,518.0900,57.1400,29.1900,34.4500,39.8600,16.1100,28.7500,379.2400,49.3700,1979.5900,46.6400,106.8800,170.1700,305.6900,66.2900,10.1900,26957.5898,80.6700,210.1000,49.5900,66.5300,75.7700,8.9800,33.1400,97.9000,120.1900,101.1900,62.6500,268.1500
2020-02-25,114.3900,167.8500,144.6500,121.4300,118.6700,517.9900,57.1200,27.1100,35.8900,41.8200,16.7500,29.6700,360.0900,51.9900,1972.7400,47.8800,107.0800,168.0700,304.8700,66.9200,10.4000,27081.3594,82.1900,212.1000,50.8900,70.5700,81.1700,8.8100,35.8400,98.8800,124.0800,108.9100,64.3300,267.4000
2020-02-24,116.3200,167.1900,145.9100,123.3000,116.9900,528.7000,57.9900,26.5000,38.3100,42.5200,17.3600,30.2700,368.7000,54.5700,2009.2900,48.0200,105.0100,170.8900,313.6200,69.3600,10.7400,27960.8008,84.5200,213.5200,54.2300,75.4700,84.2400,9.5900,37.7600,104.0200,134.8300,112.3100,67.9200,277.5000
2020-02-21,118.5800,164.6400,149.9300,126.7000,119.3800,535.3400,58.2000,25.4900,40.7200,44.7000,17.9900,30.3100,380.0700,55.9400,2095.9700,47.9600,101.7600,178.5900,321.9500,71.6000,11.1600,28992.4102,87.3600,215.8700,57.8700,78.0100,87.5200,9.7000,41.6900,109.5700,143.2400,120.1200,71.5100,294.7100
2020-02-20,117.6900,164.1700,148.3700,126.5800,124.0800,539.2200,58.0900,26.9800,40.9200,45.4700,16.0450,29.7800,386.0000,58.2900,2153.1000,47.7400,105.2900,184.4200,324.0800,73.2600,11.2800,29219.9805,88.6000,215.0800,58.3800,79.9100,88.0400,9.4900,42.5000,112.0000,146.8400,121.6600,71.9400,293.9400
2020-02-19,117.6800,164.8400,148.9400,125.4400,126.5600,542.4600,58.2200,27.1000,41.0500,46.2400,15.8600,29.5400,386.1900,54.5800,2170.2200,47.7900,103.9300,187.2800,323.0200,73.6000,11.1800,29348.0293,90.1400,215.6300,58.5100,79.4200,87.8500,9.6300,43.3400,112.6700,147.6300,121.8800,71.7800,304.0600
2020-02-18,119.6300,164.8200,149.1400,124.8700,127.1500,537.6000,57.9100,27.0800,40.1800,45.1000,15.9700,29.7100,387.7800,52.1600,2155.6700,48.2000,96.3900,187.2300,322.0500,73.5000,10.9500,29232.1895,89.2300,216.1500,58.7200,80.2400,87.9400,9.3200,42.9200,111.9300,144.9400,121.1000,72.0000,302.4500
2020-02-14,117.8900,164.8300,150.1300,126.1400,130.2500,534.8900,58.5100,27.6600,39.6600,44.6900,15.4500,28.2300,380.4000,50.3900,2134.8700,48.6400,90.9500,185.3500,318.3100,73.4500,10.9500,29398.0801,89.2800,217.0900,58.9000,79.5500,86.4600,8.9000,42.6000,113.2300,144.9000,122.8000,71.3700,297.8200
